NCT ID,Title,Status,Phase,Enrollment,Sites,Start Date,Primary Completion,Lead Sponsor,Sponsor Type,Conditions,Interventions,Countries,Min Age,Max Age,Sex
NCT03125577,Combination CAR-T Cell Therapy Targeting Hematological Malignancies,RECRUITING,"PHASE1, PHASE2",100,4,2025-08-01,2028-12-31,Shenzhen Geno-Immune Medical Institute,Industry,B-cell Malignancies,4SCAR19 and 4SCAR22; 4SCAR19 and 4SCAR38; 4SCAR19 and 4SCAR20,China,6 Months,75 Years,ALL
NCT04532281,A Study of Murine CD19 CAR-T Therapy for Patients With Relapsed or Refractory CD19+ B-cell Hematological Malignancies,RECRUITING,EARLY_PHASE1,120,1,2020-11-01,2023-11-01,Zhejiang University,Academic/Medical Center,"Acute Lymphoblastic Leukemia, Non-Hodgkin Lymphoma of Soft Tissue",Murine CD19 CAR-T cells,China,N/A,N/A,ALL
NCT07441291,CD19 CAR-T vs DLI for Post-HSCT MRD in Ph- ALL: A RCT,RECRUITING,PHASE3,70,1,2025-11-30,2027-12-30,Peking University People's Hospital,Academic/Medical Center,"B ALL, Allogenetic Hematopoietic Stem Cell Transplantation, MRD-positive",CAR-T; DLI,China,3 Years,79 Years,ALL
NCT06752785,CD19/CD22 CAR-T Cell Therapy in MRD-Positive B-lineage Acute Lymphoblastic Leukemia in Children.,RECRUITING,PHASE1,10,1,2024-10-01,2027-12-31,Guangzhou Women and Children's Medical Center,Academic/Medical Center,Acute Lymphoblastic Leukemia,CAR-T Therapy,China,1 Year,18 Years,ALL
NCT07066397,A Phase 1 Study of FIT-CD19-CAR-T Cells in R/R B-ALL,RECRUITING,PHASE1,12,1,2025-07-15,2028-04-01,TriArm Therapeutics (Taiwan) Limited,Industry,Acute Lymphoblastic Leukemia,ARM011; Fludarabine; Cyclophosphamide,Taiwan,18 Years,N/A,ALL
NCT04318678,CD123-Directed T-Cell Therapy for Acute Myelogenous Leukemia (CATCHAML),RECRUITING,PHASE1,108,2,2020-07-29,2029-07-29,St. Jude Children's Research Hospital,Academic/Medical Center,"AML/MDS, B-ALL, T-ALL, BPDCN",CD123-CAR T; Cyclophosphamide; Fludarabine,United States,N/A,21 Years,ALL
NCT07223021,A Study of Fludarabine Dosing in Children and Young Adults With B-cell Acute Lymphoblastic Leukemia,RECRUITING,PHASE3,130,3,2025-10-20,2028-10,Memorial Sloan Kettering Cancer Center,Academic/Medical Center,B-cell Acute Lymphoblastic Leukemia,Fludarabine; Cyclophosphamide; Fludarabine,United States,1 Year,N/A,ALL
NCT04530565,Testing the Use of Steroids and Tyrosine Kinase Inhibitors With Blinatumomab or Chemotherapy for Newly Diagnosed BCR-ABL-Positive Acute Lymphoblastic Leukemia in Adults,RECRUITING,PHASE3,348,211,2021-01-25,2028-07-01,National Cancer Institute (NCI),Government,B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1,Biospecimen Collection; Blinatumomab; Bone Marrow Aspiration and Biopsy,"Israel, Puerto Rico, United States",18 Years,75 Years,ALL
NCT07166419,"Anti-CD19/20/22 Chimeric Antigen Receptor T Cells (TriCAR19.20.22 T Cells) for the Treatment of Relapsed or Refractory Non-Hodgkin Lymphoma, Acute Lymphoblastic Leukemia, and Chronic Lymphocytic Leukemia",RECRUITING,PHASE1,24,1,2026-02-01,2026-12-31,Ohio State University Comprehensive Cancer Center,Academic/Medical Center,"Blast Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive, Recurrent Acute Lymphoblastic Leukemia, Recurrent Chronic Lymphocytic Leukemia, Recurrent Chronic Myeloid Leukemia, BCR-ABL1 Positive, Recurrent Indolent Non-Hodgkin Lymphoma, Recurrent Lymphoblastic Lymphoma, Recurrent Non-Hodgkin Lymphoma, Recurrent Transformed Chronic Lymphocytic Leukemia, Refractory Acute Lymphoblastic Leukemia, Refractory Chronic Lymphocytic Leukemia, Refractory Chronic Myeloid Leukemia, BCR-ABL1 Positive, Refractory Indolent Non-Hodgkin Lymphoma, Refractory Lymphoblastic Lymphoma, Refractory Non-Hodgkin Lymphoma, Refractory Transformed Chronic Lymphocytic Leukemia",Autologous Anti-CD19/CD20/CD22 CAR T-cells; Biospecimen Collection; Bone Marrow Aspiration,United States,18 Years,N/A,ALL
NCT06481735,TCR Reserved and Power3 (SPPL3) Gene Knock-out Allogeneic CD19-targeting CAR-T Cell Therapy in r/r B-ALL,RECRUITING,"PHASE1, PHASE2",30,6,2025-02-15,2027-02-15,Chinese PLA General Hospital,Academic/Medical Center,Acute Lymphocytic Leukemia,TCR reserved and Power3 (SPPL3) Gene Knock-out Allogeneic CD19-targeting CAR-T cell; Fludarabine; Cyclophosphamide,China,16 Years,70 Years,ALL
NCT05333302,Pilot CAR-T Cells Therapy for Children/Young Adults With CD19+ R/R Leukemia/Lymphoma,RECRUITING,PHASE1,10,1,2020-10-26,2024-12,"Belarusian Research Center for Pediatric Oncology, Hematology and Immunology",Academic/Medical Center,"B-cell Acute Lymphoblastic Leukemia, Lymphoblastic B-Cell Lymphoma",CD19 CAR-T-cells; Tocilizumab,Belarus,1 Year,30 Years,ALL
NCT06364423,Anti-CD19 Chimeric Antigen Receptor T-Cell Immunotherapy for Leukemias,RECRUITING,"PHASE1, PHASE2",132,1,2024-09-03,2029-07-01,National Cancer Institute (NCI),Government,"Leukemia, Lymphocytic, Chronic, B-Cell, B-Lymphocytic Leukemia, Chronic, B-Cell Chronic Lymphocytic Leukemia, Acute Lymphoblastic Leukemia, Lymphoblastic Lymphoma, Leukemia, Acute Lymphoblastic, Small Lymphocytic Lymphoma",Autologous HuCD19 ( Anti-CD19)CAR T cells; Cyclophosphamide; Fludarabine,United States,18 Years,120 Years,ALL
NCT05674175,Co-administration of CART22-65s and huCART19 for B-ALL,RECRUITING,"PHASE1, PHASE2",93,1,2023-01-25,2027-01-15,Stephan Grupp MD PhD,Academic/Medical Center,"B-cell Acute Lymphoblastic Leukemia, B Lineage Lymphoblastic Lymphoma","Autologous, humanized anti-CD22 CAR T cell therapy (CART22-65s); Autologous, humanized anti-CD19 CAR T cell therapy (huCART19)",United States,N/A,29 Years,ALL
NCT06081478,CD19/CD22 Bispecific CAR-T Cell Therapy for Relapsed/Refractory B-cell Lymphoma or Acute Lymphoblastic Leukemia,RECRUITING,PHASE2,100,1,2022-01-18,2025-12-31,Beijing Tongren Hospital,Academic/Medical Center,"B-cell Acute Lymphoblastic Leukemia, B-cell Lymphoma, Diffuse Large B Cell Lymphoma",CD19/CD22-bispecific CAR-T cells,China,14 Years,85 Years,ALL
NCT05470777,CD22/CD19 CAR-T and Auto-HSCT Sandwich Strategy as Consolidation Therapy for B-ALL,RECRUITING,PHASE2,37,1,2020-01-19,2026-07-21,The First Affiliated Hospital of Soochow University,Academic/Medical Center,B-cell Acute Lymphoblastic Leukemia,"CD22/CD19 CAR T and auto-HSCT ""sandwich"" strategy",China,15 Years,65 Years,ALL
NCT04544592,UCD19 CarT in Treatment of Pediatric B-ALL and B-NHL,RECRUITING,"PHASE1, PHASE2",45,1,2021-03-10,2026-06,"University of Colorado, Denver",Academic/Medical Center,"B-cell Acute Lymphoblastic Leukemia, B-cell Non Hodgkin Lymphoma",CD19CAR-CD3Zeta-4-1BB-Expressing Autologous T-Lymphocyte Cells,United States,31 Days,30 Years,ALL
NCT06866873,CD-19 CAR-T Cell for Pediatric ALL or Lymphoma,RECRUITING,NA,18,1,2024-05-01,2037-12-31,Hong Kong Children's Hospital,Academic/Medical Center,"Lymphoma, B-Cell, Acute Lymphoblastic Leukemia, Pediatric",CAR-T,Hong Kong,1 Year,17 Years,ALL
NCT05995015,4SCAR19U T Cells Targeting B Cell Malignancies,RECRUITING,PHASE1,30,1,2023-10-31,2026-09-30,Shenzhen Geno-Immune Medical Institute,Industry,B Cell Malignancies,Universal CD19-specific CAR gene-engineered T cells,China,6 Months,75 Years,ALL
